"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"2011","Hungary","Pure biodiesels","Production capacity","Thousand tonnes per year","189.000"
"2011","Hungary","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Hungary","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Malta","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Malta","Pure biodiesels","Production capacity","Thousand tonnes per year","1.107"
"2011","Malta","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Malta","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Netherlands","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Netherlands","Pure biodiesels","Production capacity","Thousand tonnes per year","2,030.000"
"2011","Netherlands","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Netherlands","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Austria","Pure biogasoline","Production capacity","Thousand tonnes per year","191.000"
"2011","Austria","Pure biodiesels","Production capacity","Thousand tonnes per year","645.500"
"2011","Austria","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Austria","Other liquid biofuels","Production capacity","Thousand tonnes per year","645.500"
"2011","Poland","Pure biogasoline","Production capacity","Thousand tonnes per year","406.000"
"2011","Poland","Pure biodiesels","Production capacity","Thousand tonnes per year","755.100"
"2011","Poland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Poland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Portugal","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Portugal","Pure biodiesels","Production capacity","Thousand tonnes per year","682.342"
"2011","Portugal","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Portugal","Other liquid biofuels","Production capacity","Thousand tonnes per year","12.658"
"2011","Romania","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Romania","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Romania","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Romania","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Slovenia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Slovenia","Pure biodiesels","Production capacity","Thousand tonnes per year","25.000"
"2011","Slovenia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Slovenia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Slovakia","Pure biogasoline","Production capacity","Thousand tonnes per year","106.000"
"2011","Slovakia","Pure biodiesels","Production capacity","Thousand tonnes per year","168.000"
"2011","Slovakia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Slovakia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Finland","Pure biogasoline","Production capacity","Thousand tonnes per year","11.000"
"2011","Finland","Pure biodiesels","Production capacity","Thousand tonnes per year","380.000"
"2011","Finland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","1.000"
"2011","Finland","Other liquid biofuels","Production capacity","Thousand tonnes per year","20.000"
"2011","Sweden","Pure biogasoline","Production capacity","Thousand tonnes per year","150.213"
"2011","Sweden","Pure biodiesels","Production capacity","Thousand tonnes per year","117.347"
"2011","Sweden","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Sweden","Other liquid biofuels","Production capacity","Thousand tonnes per year","90.845"
"2011","Iceland","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Iceland","Pure biodiesels","Production capacity","Thousand tonnes per year","0.015"
"2011","Iceland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Iceland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Liechtenstein","Pure biogasoline","Production capacity","Thousand tonnes per year",":"
"2011","Liechtenstein","Pure biodiesels","Production capacity","Thousand tonnes per year",":"
"2011","Liechtenstein","Pure bio jet kerosene","Production capacity","Thousand tonnes per year",":"
"2011","Liechtenstein","Other liquid biofuels","Production capacity","Thousand tonnes per year",":"
"2011","Norway","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Norway","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Norway","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Norway","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","United Kingdom","Pure biogasoline","Production capacity","Thousand tonnes per year","374.768"
"2011","United Kingdom","Pure biodiesels","Production capacity","Thousand tonnes per year","504.630"
"2011","United Kingdom","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","United Kingdom","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Montenegro","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Montenegro","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Montenegro","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Montenegro","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","North Macedonia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","North Macedonia","Pure biodiesels","Production capacity","Thousand tonnes per year","20.000"
"2011","North Macedonia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","North Macedonia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Albania","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Albania","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Albania","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Albania","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
