"TIME","GEO","NRG_BAL","SIEC","UNIT","Value"
"2012","Croatia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Italy","Inland consumption - calculated","Geothermal","Terajoule","207,551.000"
"2012","Italy","Inland consumption - calculated","Solar thermal","Terajoule","6,504.000"
"2012","Italy","Inland consumption - calculated","Primary solid biofuels","Terajoule","351,602.000"
"2012","Italy","Inland consumption - calculated","Biogases","Terajoule","49,352.000"
"2012","Italy","Inland consumption - calculated","Renewable municipal waste","Terajoule","33,780.000"
"2012","Cyprus","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Cyprus","Inland consumption - calculated","Solar thermal","Terajoule","2,700.000"
"2012","Cyprus","Inland consumption - calculated","Primary solid biofuels","Terajoule","546.000"
"2012","Cyprus","Inland consumption - calculated","Biogases","Terajoule","476.000"
"2012","Cyprus","Inland consumption - calculated","Renewable municipal waste","Terajoule","88.000"
"2012","Latvia","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Latvia","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Latvia","Inland consumption - calculated","Primary solid biofuels","Terajoule","52,541.000"
"2012","Latvia","Inland consumption - calculated","Biogases","Terajoule","2,175.000"
"2012","Latvia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Lithuania","Inland consumption - calculated","Geothermal","Terajoule","158.000"
"2012","Lithuania","Inland consumption - calculated","Solar thermal","Terajoule","0.000"
"2012","Lithuania","Inland consumption - calculated","Primary solid biofuels","Terajoule","41,973.000"
"2012","Lithuania","Inland consumption - calculated","Biogases","Terajoule","484.000"
"2012","Lithuania","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Luxembourg","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Luxembourg","Inland consumption - calculated","Solar thermal","Terajoule","57.124"
"2012","Luxembourg","Inland consumption - calculated","Primary solid biofuels","Terajoule","1,806.882"
"2012","Luxembourg","Inland consumption - calculated","Biogases","Terajoule","657.791"
"2012","Luxembourg","Inland consumption - calculated","Renewable municipal waste","Terajoule","454.687"
"2012","Hungary","Inland consumption - calculated","Geothermal","Terajoule","4,490.000"
"2012","Hungary","Inland consumption - calculated","Solar thermal","Terajoule","357.000"
"2012","Hungary","Inland consumption - calculated","Primary solid biofuels","Terajoule","104,595.000"
"2012","Hungary","Inland consumption - calculated","Biogases","Terajoule","2,218.000"
"2012","Hungary","Inland consumption - calculated","Renewable municipal waste","Terajoule","1,921.000"
"2012","Malta","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Malta","Inland consumption - calculated","Solar thermal","Terajoule","173.560"
"2012","Malta","Inland consumption - calculated","Primary solid biofuels","Terajoule","40.000"
"2012","Malta","Inland consumption - calculated","Biogases","Terajoule","93.000"
"2012","Malta","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Netherlands","Inland consumption - calculated","Geothermal","Terajoule","495.000"
"2012","Netherlands","Inland consumption - calculated","Solar thermal","Terajoule","1,070.000"
"2012","Netherlands","Inland consumption - calculated","Primary solid biofuels","Terajoule","61,149.000"
"2012","Netherlands","Inland consumption - calculated","Biogases","Terajoule","12,165.000"
"2012","Netherlands","Inland consumption - calculated","Renewable municipal waste","Terajoule","39,794.000"
"2012","Austria","Inland consumption - calculated","Geothermal","Terajoule","1,525.948"
"2012","Austria","Inland consumption - calculated","Solar thermal","Terajoule","7,249.207"
"2012","Austria","Inland consumption - calculated","Primary solid biofuels","Terajoule","208,862.726"
"2012","Austria","Inland consumption - calculated","Biogases","Terajoule","8,434.550"
"2012","Austria","Inland consumption - calculated","Renewable municipal waste","Terajoule","6,015.706"
"2012","Poland","Inland consumption - calculated","Geothermal","Terajoule","661.000"
"2012","Poland","Inland consumption - calculated","Solar thermal","Terajoule","620.000"
"2012","Poland","Inland consumption - calculated","Primary solid biofuels","Terajoule","292,562.000"
"2012","Poland","Inland consumption - calculated","Biogases","Terajoule","7,033.000"
"2012","Poland","Inland consumption - calculated","Renewable municipal waste","Terajoule","1,360.000"
"2012","Portugal","Inland consumption - calculated","Geothermal","Terajoule","5,652.000"
"2012","Portugal","Inland consumption - calculated","Solar thermal","Terajoule","2,820.000"
"2012","Portugal","Inland consumption - calculated","Primary solid biofuels","Terajoule","95,990.000"
"2012","Portugal","Inland consumption - calculated","Biogases","Terajoule","2,383.000"
"2012","Portugal","Inland consumption - calculated","Renewable municipal waste","Terajoule","3,599.000"
"2012","Romania","Inland consumption - calculated","Geothermal","Terajoule","974.000"
"2012","Romania","Inland consumption - calculated","Solar thermal","Terajoule","4.000"
"2012","Romania","Inland consumption - calculated","Primary solid biofuels","Terajoule","153,009.000"
"2012","Romania","Inland consumption - calculated","Biogases","Terajoule","1,143.000"
"2012","Romania","Inland consumption - calculated","Renewable municipal waste","Terajoule","1.000"
"2012","Slovenia","Inland consumption - calculated","Geothermal","Terajoule","653.000"
"2012","Slovenia","Inland consumption - calculated","Solar thermal","Terajoule","410.000"
"2012","Slovenia","Inland consumption - calculated","Primary solid biofuels","Terajoule","26,534.000"
"2012","Slovenia","Inland consumption - calculated","Biogases","Terajoule","1,597.000"
"2012","Slovenia","Inland consumption - calculated","Renewable municipal waste","Terajoule","0.000"
"2012","Slovakia","Inland consumption - calculated","Geothermal","Terajoule","245.000"
"2012","Slovakia","Inland consumption - calculated","Solar thermal","Terajoule","224.000"
"2012","Slovakia","Inland consumption - calculated","Primary solid biofuels","Terajoule","32,921.000"
