TIME,GEO,SIEC,PLANT_TEC,UNIT,Value
2011,Austria,Solar,Net maximum electrical capacity,Megawatt,174.07
2011,Austria,Solid Biofuels,Net maximum electrical capacity,Megawatt,1627.97
2011,Poland,Hydro,Net maximum electrical capacity,Megawatt,2346.00
2011,Poland,Wind,Net maximum electrical capacity,Megawatt,1800.00
2011,Poland,Solar,Net maximum electrical capacity,Megawatt,1.11
2011,Poland,Solid Biofuels,Net maximum electrical capacity,Megawatt,175.00
2011,Portugal,Hydro,Net maximum electrical capacity,Megawatt,5535.00
2011,Portugal,Wind,Net maximum electrical capacity,Megawatt,4256.22
2011,Portugal,Solar,Net maximum electrical capacity,Megawatt,172.00
2011,Portugal,Solid Biofuels,Net maximum electrical capacity,Megawatt,478.00
2011,Romania,Hydro,Net maximum electrical capacity,Megawatt,6483.00
2011,Romania,Wind,Net maximum electrical capacity,Megawatt,988.00
2011,Romania,Solar,Net maximum electrical capacity,Megawatt,1.00
2011,Romania,Solid Biofuels,Net maximum electrical capacity,Megawatt,26.00
2011,Slovenia,Hydro,Net maximum electrical capacity,Megawatt,1253.00
2011,Slovenia,Wind,Net maximum electrical capacity,Megawatt,0.00
2011,Slovenia,Solar,Net maximum electrical capacity,Megawatt,57.00
2011,Slovenia,Solid Biofuels,Net maximum electrical capacity,Megawatt,33.00
2011,Slovakia,Hydro,Net maximum electrical capacity,Megawatt,2523.00
2011,Slovakia,Wind,Net maximum electrical capacity,Megawatt,3.00
2011,Slovakia,Solar,Net maximum electrical capacity,Megawatt,496.00
2011,Slovakia,Solid Biofuels,Net maximum electrical capacity,Megawatt,171.00
2011,Finland,Hydro,Net maximum electrical capacity,Megawatt,3080.00
2011,Finland,Wind,Net maximum electrical capacity,Megawatt,199.00
2011,Finland,Solar,Net maximum electrical capacity,Megawatt,7.00
2011,Finland,Solid Biofuels,Net maximum electrical capacity,Megawatt,1759.00
2011,Sweden,Hydro,Net maximum electrical capacity,Megawatt,16577.00
2011,Sweden,Wind,Net maximum electrical capacity,Megawatt,2764.00
