TIME,GEO,SIEC,PLANT_TEC,UNIT,Value
2011,Malta,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Malta,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Netherlands,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Netherlands,Pure biodiesels,Production capacity,Thousand tonnes per year,2030.00
2011,Netherlands,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Netherlands,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Austria,Pure biogasoline,Production capacity,Thousand tonnes per year,191.00
2011,Austria,Pure biodiesels,Production capacity,Thousand tonnes per year,645.50
2011,Austria,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Austria,Other liquid biofuels,Production capacity,Thousand tonnes per year,645.50
2011,Poland,Pure biogasoline,Production capacity,Thousand tonnes per year,406.00
2011,Poland,Pure biodiesels,Production capacity,Thousand tonnes per year,755.10
2011,Poland,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Poland,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Portugal,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Portugal,Pure biodiesels,Production capacity,Thousand tonnes per year,682.34
2011,Portugal,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Portugal,Other liquid biofuels,Production capacity,Thousand tonnes per year,12.66
2011,Romania,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Romania,Pure biodiesels,Production capacity,Thousand tonnes per year,0.00
2011,Romania,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Romania,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Slovenia,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Slovenia,Pure biodiesels,Production capacity,Thousand tonnes per year,25.00
2011,Slovenia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Slovenia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Slovakia,Pure biogasoline,Production capacity,Thousand tonnes per year,106.00
2011,Slovakia,Pure biodiesels,Production capacity,Thousand tonnes per year,168.00
2011,Slovakia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Slovakia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Finland,Pure biogasoline,Production capacity,Thousand tonnes per year,11.00
2011,Finland,Pure biodiesels,Production capacity,Thousand tonnes per year,380.00
2011,Finland,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,1.00
2011,Finland,Other liquid biofuels,Production capacity,Thousand tonnes per year,20.00
2011,Sweden,Pure biogasoline,Production capacity,Thousand tonnes per year,150.21
2011,Sweden,Pure biodiesels,Production capacity,Thousand tonnes per year,117.35
2011,Sweden,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Sweden,Other liquid biofuels,Production capacity,Thousand tonnes per year,90.85
