"TIME","GEO","PLANT_TEC","HP_TECH","UNIT","Value"
"2011","European Union - 27 countries (from 2020)","Installed thermal capacity","Aerothermal","Megawatt","31,355.899"
"2011","European Union - 27 countries (from 2020)","Installed thermal capacity","Geothermal","Megawatt","10,884.037"
"2011","European Union - 27 countries (from 2020)","Installed thermal capacity","Hydrothermal","Megawatt","780.412"
"2011","Euro area - 19 countries  (from 2015)","Installed thermal capacity","Aerothermal","Megawatt","27,687.908"
"2011","Euro area - 19 countries  (from 2015)","Installed thermal capacity","Geothermal","Megawatt","5,238.529"
"2011","Euro area - 19 countries  (from 2015)","Installed thermal capacity","Hydrothermal","Megawatt","730.975"
"2011","Belgium","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Belgium","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Belgium","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Bulgaria","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Bulgaria","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Bulgaria","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Czechia","Installed thermal capacity","Aerothermal","Megawatt","328.341"
"2011","Czechia","Installed thermal capacity","Geothermal","Megawatt","165.026"
"2011","Czechia","Installed thermal capacity","Hydrothermal","Megawatt","22.207"
"2011","Denmark","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Denmark","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Denmark","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Germany (until 1990 former territory of the FRG)","Installed thermal capacity","Aerothermal","Megawatt","2,507.414"
"2011","Germany (until 1990 former territory of the FRG)","Installed thermal capacity","Geothermal","Megawatt","2,396.659"
"2011","Germany (until 1990 former territory of the FRG)","Installed thermal capacity","Hydrothermal","Megawatt","536.834"
"2011","Estonia","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Estonia","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Estonia","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Ireland","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Ireland","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Ireland","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Greece","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Greece","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Greece","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Spain","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Spain","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Spain","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","France","Installed thermal capacity","Aerothermal","Megawatt","24,767.758"
"2011","France","Installed thermal capacity","Geothermal","Megawatt","1,963.034"
"2011","France","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Croatia","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Croatia","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Croatia","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Italy","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Italy","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Italy","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Cyprus","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Cyprus","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Cyprus","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Latvia","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Latvia","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Latvia","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Lithuania","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Lithuania","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Lithuania","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Luxembourg","Installed thermal capacity","Aerothermal","Megawatt","2.950"
"2011","Luxembourg","Installed thermal capacity","Geothermal","Megawatt","0.626"
"2011","Luxembourg","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Hungary","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Hungary","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Hungary","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Malta","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Malta","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Malta","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Netherlands","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Netherlands","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Netherlands","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Austria","Installed thermal capacity","Aerothermal","Megawatt","409.786"
"2011","Austria","Installed thermal capacity","Geothermal","Megawatt","878.210"
"2011","Austria","Installed thermal capacity","Hydrothermal","Megawatt","194.141"
"2011","Poland","Installed thermal capacity","Aerothermal","Megawatt","59.650"
"2011","Poland","Installed thermal capacity","Geothermal","Megawatt","300.482"
"2011","Poland","Installed thermal capacity","Hydrothermal","Megawatt","27.230"
"2011","Portugal","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Portugal","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Portugal","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Romania","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Romania","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Romania","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Slovenia","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Slovenia","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Slovenia","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Slovakia","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Slovakia","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Slovakia","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Finland","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Finland","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Finland","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Sweden","Installed thermal capacity","Aerothermal","Megawatt","3,280.000"
"2011","Sweden","Installed thermal capacity","Geothermal","Megawatt","5,180.000"
"2011","Sweden","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Iceland","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Iceland","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Iceland","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Liechtenstein","Installed thermal capacity","Aerothermal","Megawatt",":"
"2011","Liechtenstein","Installed thermal capacity","Geothermal","Megawatt",":"
"2011","Liechtenstein","Installed thermal capacity","Hydrothermal","Megawatt",":"
"2011","Norway","Installed thermal capacity","Aerothermal","Megawatt","3,600.000"
"2011","Norway","Installed thermal capacity","Geothermal","Megawatt","1,054.000"
"2011","Norway","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","United Kingdom","Installed thermal capacity","Aerothermal","Megawatt","19,703.841"
"2011","United Kingdom","Installed thermal capacity","Geothermal","Megawatt","157.907"
"2011","United Kingdom","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Montenegro","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Montenegro","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Montenegro","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","North Macedonia","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","North Macedonia","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","North Macedonia","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Albania","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Albania","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Albania","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Serbia","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Serbia","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Serbia","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Turkey","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Turkey","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Turkey","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Bosnia and Herzegovina","Installed thermal capacity","Aerothermal","Megawatt",":"
"2011","Bosnia and Herzegovina","Installed thermal capacity","Geothermal","Megawatt",":"
"2011","Bosnia and Herzegovina","Installed thermal capacity","Hydrothermal","Megawatt",":"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Moldova","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Moldova","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Moldova","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Ukraine","Installed thermal capacity","Aerothermal","Megawatt","0.000"
"2011","Ukraine","Installed thermal capacity","Geothermal","Megawatt","0.000"
"2011","Ukraine","Installed thermal capacity","Hydrothermal","Megawatt","0.000"
"2011","Georgia","Installed thermal capacity","Aerothermal","Megawatt",":"
"2011","Georgia","Installed thermal capacity","Geothermal","Megawatt",":"
"2011","Georgia","Installed thermal capacity","Hydrothermal","Megawatt",":"
"2012","European Union - 27 countries (from 2020)","Installed thermal capacity","Aerothermal","Megawatt","35,253.971"
"2012","European Union - 27 countries (from 2020)","Installed thermal capacity","Geothermal","Megawatt","11,511.273"
"2012","European Union - 27 countries (from 2020)","Installed thermal capacity","Hydrothermal","Megawatt","832.602"
"2012","Euro area - 19 countries  (from 2015)","Installed thermal capacity","Aerothermal","Megawatt","31,211.560"
"2012","Euro area - 19 countries  (from 2015)","Installed thermal capacity","Geothermal","Megawatt","5,619.040"
"2012","Euro area - 19 countries  (from 2015)","Installed thermal capacity","Hydrothermal","Megawatt","781.059"
"2012","Belgium","Installed thermal capacity","Aerothermal","Megawatt","0.000"
