TIME,GEO,SIEC,PLANT_TEC,UNIT,Value,rank
2011,Germany,Hydro,Net maximum electrical capacity,Megawatt,11436,1
2011,Germany,Hydro,Net maximum electrical capacity,Megawatt,11436,2
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,0
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,1
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,2
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,3
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,4
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,5
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,6
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,7
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712,8
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,0
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,1
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,2
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,3
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,4
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,5
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,6
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916,7
2011,Germany,Solid Biofuels,Net maximum electrical capacity,Megawatt,1554,0
2011,Estonia,Hydro,Net maximum electrical capacity,Megawatt,5,0
2011,Estonia,Wind,Net maximum electrical capacity,Megawatt,180,0
2011,Estonia,Solar,Net maximum electrical capacity,Megawatt,0,0
2011,Estonia,Solid Biofuels,Net maximum electrical capacity,Megawatt,145,0
2011,Ireland,Hydro,Net maximum electrical capacity,Megawatt,237,0
2011,Ireland,Wind,Net maximum electrical capacity,Megawatt,1584.6,0
2011,Ireland,Solar,Net maximum electrical capacity,Megawatt,0.79,0
2011,Ireland,Solid Biofuels,Net maximum electrical capacity,Megawatt,5.45,0
2011,Greece,Hydro,Net maximum electrical capacity,Megawatt,3224,0
2011,Greece,Wind,Net maximum electrical capacity,Megawatt,1640,0
2011,Greece,Solar,Net maximum electrical capacity,Megawatt,612,0
2011,Greece,Solid Biofuels,Net maximum electrical capacity,Megawatt,0,0
2011,Spain,Hydro,Net maximum electrical capacity,Megawatt,18540,0
2011,Spain,Hydro,Net maximum electrical capacity,Megawatt,18540,1
2011,Spain,Hydro,Net maximum electrical capacity,Megawatt,18540,2
2011,Spain,Hydro,Net maximum electrical capacity,Megawatt,18540,3
2011,Spain,Hydro,Net maximum electrical capacity,Megawatt,18540,4
2011,Spain,Hydro,Net maximum electrical capacity,Megawatt,18540,5
2011,Spain,Wind,Net maximum electrical capacity,Megawatt,21529,0
2011,Spain,Wind,Net maximum electrical capacity,Megawatt,21529,1
2011,Spain,Wind,Net maximum electrical capacity,Megawatt,21529,2
2011,Spain,Wind,Net maximum electrical capacity,Megawatt,21529,3
2011,Spain,Wind,Net maximum electrical capacity,Megawatt,21529,4
2011,Spain,Wind,Net maximum electrical capacity,Megawatt,21529,5
2011,Spain,Wind,Net maximum electrical capacity,Megawatt,21529,6
2011,Spain,Solar,Net maximum electrical capacity,Megawatt,5432,0
2011,Spain,Solid Biofuels,Net maximum electrical capacity,Megawatt,558.17,0
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,0
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,1
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,2
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,3
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,4
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,5
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,6
2011,France,Hydro,Net maximum electrical capacity,Megawatt,25642.37,7
2011,France,Wind,Net maximum electrical capacity,Megawatt,6758.02,0
2011,France,Wind,Net maximum electrical capacity,Megawatt,6758.02,1
2011,France,Solar,Net maximum electrical capacity,Megawatt,3003.57,0
2011,France,Solid Biofuels,Net maximum electrical capacity,Megawatt,330.06,0
2011,Croatia,Hydro,Net maximum electrical capacity,Megawatt,2129,0
2011,Croatia,Wind,Net maximum electrical capacity,Megawatt,130,0
2011,Croatia,Solar,Net maximum electrical capacity,Megawatt,0,0
2011,Croatia,Solid Biofuels,Net maximum electrical capacity,Megawatt,6,0
2011,Italy,Hydro,Net maximum electrical capacity,Megawatt,21737,0
2011,Italy,Hydro,Net maximum electrical capacity,Megawatt,21737,1
2011,Italy,Hydro,Net maximum electrical capacity,Megawatt,21737,2
2011,Italy,Hydro,Net maximum electrical capacity,Megawatt,21737,3
2011,Italy,Hydro,Net maximum electrical capacity,Megawatt,21737,4
2011,Italy,Hydro,Net maximum electrical capacity,Megawatt,21737,5
2011,Italy,Hydro,Net maximum electrical capacity,Megawatt,21737,6
2011,Italy,Wind,Net maximum electrical capacity,Megawatt,6918,0
2011,Italy,Wind,Net maximum electrical capacity,Megawatt,6918,1
2011,Italy,Solar,Net maximum electrical capacity,Megawatt,13131,0
2011,Italy,Solar,Net maximum electrical capacity,Megawatt,13131,1
2011,Italy,Solar,Net maximum electrical capacity,Megawatt,13131,2
