"TIME","GEO","PLANT_TEC","UNIT","Value"
"2012","Poland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Portugal","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Portugal","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Portugal","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Romania","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","194.540"
"2012","Romania","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Romania","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Slovenia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovenia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovenia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Slovakia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovakia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovakia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Finland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Finland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Finland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Sweden","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","459.000"
"2012","Sweden","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Sweden","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Iceland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Iceland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Iceland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Liechtenstein","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Liechtenstein","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Liechtenstein","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Norway","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Norway","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Norway","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","United Kingdom","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","185.000"
"2012","United Kingdom","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","United Kingdom","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","699.000"
"2012","Montenegro","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Montenegro","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Montenegro","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","North Macedonia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","North Macedonia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","North Macedonia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Albania","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Albania","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Albania","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Serbia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Serbia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Serbia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Turkey","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Turkey","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Turkey","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Bosnia and Herzegovina","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Bosnia and Herzegovina","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Bosnia and Herzegovina","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
