"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"2011","Malta","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Netherlands","Hydro","Net maximum electrical capacity","Megawatt","37.000"
"2011","Netherlands","Wind","Net maximum electrical capacity","Megawatt","2,316.000"
"2011","Netherlands","Solar","Net maximum electrical capacity","Megawatt","149.000"
"2011","Netherlands","Solid biofuels","Net maximum electrical capacity","Megawatt","132.578"
"2011","Austria","Hydro","Net maximum electrical capacity","Megawatt","13,177.390"
"2011","Austria","Wind","Net maximum electrical capacity","Megawatt","1,105.966"
"2011","Austria","Solar","Net maximum electrical capacity","Megawatt","174.070"
"2011","Austria","Solid biofuels","Net maximum electrical capacity","Megawatt","1,627.970"
"2011","Poland","Hydro","Net maximum electrical capacity","Megawatt","2,346.000"
"2011","Poland","Wind","Net maximum electrical capacity","Megawatt","1,800.000"
"2011","Poland","Solar","Net maximum electrical capacity","Megawatt","1.110"
"2011","Poland","Solid biofuels","Net maximum electrical capacity","Megawatt","175.000"
"2011","Portugal","Hydro","Net maximum electrical capacity","Megawatt","5,535.000"
"2011","Portugal","Wind","Net maximum electrical capacity","Megawatt","4,256.215"
"2011","Portugal","Solar","Net maximum electrical capacity","Megawatt","172.000"
"2011","Portugal","Solid biofuels","Net maximum electrical capacity","Megawatt","478.000"
"2011","Romania","Hydro","Net maximum electrical capacity","Megawatt","6,483.000"
"2011","Romania","Wind","Net maximum electrical capacity","Megawatt","988.000"
"2011","Romania","Solar","Net maximum electrical capacity","Megawatt","1.000"
"2011","Romania","Solid biofuels","Net maximum electrical capacity","Megawatt","26.000"
"2011","Slovenia","Hydro","Net maximum electrical capacity","Megawatt","1,253.000"
"2011","Slovenia","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","Slovenia","Solar","Net maximum electrical capacity","Megawatt","57.000"
"2011","Slovenia","Solid biofuels","Net maximum electrical capacity","Megawatt","33.000"
"2011","Slovakia","Hydro","Net maximum electrical capacity","Megawatt","2,523.000"
"2011","Slovakia","Wind","Net maximum electrical capacity","Megawatt","3.000"
"2011","Slovakia","Solar","Net maximum electrical capacity","Megawatt","496.000"
"2011","Slovakia","Solid biofuels","Net maximum electrical capacity","Megawatt","171.000"
"2011","Finland","Hydro","Net maximum electrical capacity","Megawatt","3,080.000"
"2011","Finland","Wind","Net maximum electrical capacity","Megawatt","199.000"
"2011","Finland","Solar","Net maximum electrical capacity","Megawatt","7.000"
"2011","Finland","Solid biofuels","Net maximum electrical capacity","Megawatt","1,759.000"
"2011","Sweden","Hydro","Net maximum electrical capacity","Megawatt","16,577.000"
"2011","Sweden","Wind","Net maximum electrical capacity","Megawatt","2,764.000"
"2011","Sweden","Solar","Net maximum electrical capacity","Megawatt","12.000"
"2011","Sweden","Solid biofuels","Net maximum electrical capacity","Megawatt","3,397.000"
"2011","Iceland","Hydro","Net maximum electrical capacity","Megawatt","1,884.000"
"2011","Iceland","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","Iceland","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Iceland","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Norway","Hydro","Net maximum electrical capacity","Megawatt","29,969.000"
"2011","Norway","Wind","Net maximum electrical capacity","Megawatt","512.000"
"2011","Norway","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Norway","Solid biofuels","Net maximum electrical capacity","Megawatt","79.000"
"2011","United Kingdom","Hydro","Net maximum electrical capacity","Megawatt","4,423.000"
"2011","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","6,596.285"
