Continent,Year,Source,Value
Africa,2018,Renewables,339.21313
Africa,2019,Fossil,3808.938
Africa,2019,Nuclear,25.247028
Africa,2019,Renewables,353.47128
Africa,2020,Fossil,3483.574
Africa,2020,Nuclear,18.341825
Africa,2020,Renewables,368.9321
Africa,2021,Fossil,3625.5051
Africa,2021,Nuclear,22.259695
Africa,2021,Renewables,379.35263
Africa,2022,Fossil,3545.3096
Africa,2022,Nuclear,17.710443
Africa,2022,Renewables,380.82352
Asia,1965,Fossil,2593.6575
Asia,1965,Nuclear,0.037304364
Asia,1965,Renewables,222.3872
Asia,1966,Fossil,2756.053
Asia,1966,Nuclear,0.8506556
Asia,1966,Renewables,226.44109
Asia,1967,Fossil,2844.5586
Asia,1967,Nuclear,0.8949819
Asia,1967,Renewables,206.75435
Asia,1968,Fossil,2990.0364
Asia,1968,Nuclear,1.4501771
Asia,1968,Renewables,224.33261
Asia,1969,Fossil,3336.7114
Asia,1969,Nuclear,2.448705
Asia,1969,Renewables,227.21378
Asia,1970,Fossil,3708.8499
Asia,1970,Nuclear,7.7907963
Asia,1970,Renewables,227.32373
Asia,1971,Fossil,3975.4124
Asia,1971,Nuclear,11.672125
Asia,1971,Renewables,242.87311
Asia,1972,Fossil,4135.672
Asia,1972,Nuclear,13.402955
Asia,1972,Renewables,245.58287
Asia,1973,Fossil,4417.263
Asia,1973,Nuclear,14.87635
Asia,1973,Renewables,223.31256
Asia,1974,Fossil,4385.4126
Asia,1974,Nuclear,26.632406
Asia,1974,Renewables,248.8767
Asia,1975,Fossil,4437.785
Asia,1975,Nuclear,33.024063
Asia,1975,Renewables,262.73886
Asia,1976,Fossil,4602.0396
Asia,1976,Nuclear,43.273533
Asia,1976,Renewables,264.90094
Asia,1977,Fossil,4844.678
Asia,1977,Nuclear,38.756546
Asia,1977,Renewables,255.56485
Asia,1978,Fossil,5059.825
Asia,1978,Nuclear,74.64973
Asia,1978,Renewables,264.37238
Asia,1979,Fossil,5224.946
Asia,1979,Nuclear,90.313416
Asia,1979,Renewables,281.43222
Asia,1980,Fossil,5100.2217
Asia,1980,Nuclear,104.221085
Asia,1980,Renewables,297.12375
Asia,1981,Fossil,5052.858
Asia,1981,Nuclear,109.81348
Asia,1981,Renewables,312.4645
Asia,1982,Fossil,5047.5483
Asia,1982,Nuclear,125.86182
Asia,1982,Renewables,313.3928
Asia,1983,Fossil,5200.0757
Asia,1983,Nuclear,147.57088
Asia,1983,Renewables,322.9857
Asia,1984,Fossil,5509.3267
Asia,1984,Nuclear,174.05548
Asia,1984,Renewables,319.09097
Asia,1985,Fossil,6306.246
Asia,1985,Nuclear,209.86427
Asia,1985,Renewables,368.45825
Asia,1986,Fossil,6447.955
Asia,1986,Nuclear,218.83534
Asia,1986,Renewables,364.78372
Asia,1987,Fossil,6660.039
Asia,1987,Nuclear,253.90372
Asia,1987,Renewables,370.04752
Asia,1988,Fossil,6988.958
Asia,1988,Nuclear,234.89563
Asia,1988,Renewables,415.47903
Asia,1989,Fossil,7191.7744
Asia,1989,Nuclear,240.51364
Asia,1989,Renewables,418.09866
Asia,1990,Fossil,7324.175
Asia,1990,Nuclear,253.77467
Asia,1990,Renewables,426.91705
Asia,1991,Fossil,7479.6816
Asia,1991,Nuclear,266.1848
Asia,1991,Renewables,424.13998
Asia,1992,Fossil,7702.689
Asia,1992,Nuclear,268.72247
Asia,1992,Renewables,420.32178
Asia,1993,Fossil,7855.5366
Asia,1993,Nuclear,293.035
Asia,1993,Renewables,457.6591
Asia,1994,Fossil,8151.1943
Asia,1994,Nuclear,307.99985
Asia,1994,Renewables,450.61145
Asia,1995,Fossil,8346.813
Asia,1995,Nuclear,334.46332
Asia,1995,Renewables,482.20346
Asia,1996,Fossil,8606.345
Asia,1996,Nuclear,348.16574
Asia,1996,Renewables,472.4164
Asia,1997,Fossil,8732.054
Asia,1997,Nuclear,365.14474
Asia,1997,Renewables,467.31732
Asia,1998,Fossil,8583.624
Asia,1998,Nuclear,374.7019
Asia,1998,Renewables,488.76053
Asia,1999,Fossil,8772.187
Asia,1999,Nuclear,375.85275
Asia,1999,Renewables,473.56464
Asia,2000,Fossil,8999.97
Asia,2000,Nuclear,381.39862
Asia,2000,Renewables,483.60352
Asia,2001,Fossil,9178.793
